"ranking","Chinese.origin.data","Google.translated.data","Baidu.English.sentiment.analysis.positive.probability.base.on.Google.translated.data."
10,",,,,唉",",,,,Ugh",1
10,".私人定制.这种强奸院线的电影，还好意思说自己几天票房超了泰囧，我们看泰囧的时，院线里四五个片子上映好么，现在所有院线只有你一部片子好么！能不能注意点品质和素质，人家泰囧的评分是8.9好么，人家是导演诚意之作好么，私人评分是5分好么，导演为票房糊弄人好么，看完大家都想对你说fuck好么！！","This custom of filming rape, I am sorry to say that the box office over a few days Thai embarrassed, when we look at Thai embarrassed, four or five films released in the theater, what, and now all the theaters only you a Good movie! Can not pay attention to the quality and quality of people Thai embarrassed the score is 8.9 good, people are good director for good, personal rating is good, the director for the box office fool people good, after reading we all want to you What good fuck! !",0.964929
10,"【慎看·纯吐槽】本没抱多大希望，可还是足够失望，还没看的建议就别看了。混乱牵强的拼接，中心思想被狗吃了吗请问，就算喜剧电影也可以有个主线好吗，可以俗烂，但不要什么都没有好吗。最后那是什么，保护大自然吗，道歉是吗，不顺便给观众道歉吗。套你们自己的话——毛。","[Looked purely Tucao] This did not hold much hope, but still disappointed enough, have not read the proposal do not read. Is the messy and far-reaching stitching, the central idea is eaten by the dog? Excuse me, even if the comedy movie can have a main line alright, can be vulgar, but do not do anything good. What is the last, the protection of nature do you apologize, apologize to the viewer? Set your own words - hair.",0.842311
10,"06年K歌时很屌的唱着双截棍、忍者、龙拳，周围同事朋友纷纷骂着你丫90后啊，这么潮的歌你也会唱。13年还唱着同样的歌，周围的人该干嘛干嘛根本没人理你。97年再好看的片子，放到现在的审美也看不下去了吧，更何况比起97年的那部片子，这部简直就是坑蒙拐骗毫无诚意。别说花钱去电影院了，网上看不要钱","In 2006 K song is very loud singing nunchakus, ninja, dragon fist, friends around have scolded you after Ah Ya 90, ah, this tide song you will sing. 13 years also sing the same song, why do people around do not care about you. In 1997, the best-looking film can not stand up to the present aesthetic. Not to mention that this film is almost no sincerity when compared with that of the 97-year film. Do not say spending money to the cinema, online do not want money",0.78679
10,"18号和石头哥一起在影院看的提前场。不说前三段的割裂感，单说最后的废话，搁再好的片子里也要把分数扣到精光。","On the 18th and stone brother to see the advance field in the theater. Not to mention the first three paragraphs of the sense of separation, saying the last nonsense, put no matter how good the film also points to fine.",0.816247
10,"2013.12.29","2013.12.29",1
10,"2bmeiwenhua","2bmeiwenhua",1
10,"5年内唯一一支让我看到一半就忍吐离场的电影,为了葛大爷,为了王朔,为了冯小刚,我一直在努力的寻找笑点搏自己一笑,但我失败了,我想也可能是时代已将我的笑点提的太高...","For the first time in 5 years, I have seen half of the films that I endure vindictively. For Ge Grandpa, Wang Shuo, Feng Xiaogang, I have been working hard to find a smile and smile, but I failed, I think it may be It's time has put my smile point too high ...",0.801737
10,"haonimei","haonimei",1
10,"hehehe","Hehehe",1
10,"laji","species",1
10,"lanlanlan","lanlanlan",1
10,"lansile","lansile",1
10,"nmsl","nmsl",1
10,"shajibapolan","shajibapolan",1
